Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,235467,,91901,,39.0%
,1.,15494110 4  avaliacao da prova do frango depenado,47256,20.1%,9901,10.8%,21.0%
,2.,15494110 4  avaliacao prova do frango depenado,25283,10.7%,4725,5.1%,18.7%
,3.,15494130 5  prova do ovo beneditino,15474,6.6%,6774,7.4%,43.8%
,4.,15494103 1  caixa misteriosa eliminatoria,15313,6.5%,7912,8.6%,51.7%
,5.,15494119 3  prova do frango depenado,13262,5.6%,6413,7.0%,48.4%
,6.,15494092 2  avaliacao da caixa misteriosa,11965,5.1%,6152,6.7%,51.4%
,7.,15494282 ntegra capitulo 73  02/06/2015,8701,3.7%,3258,3.5%,37.4%
,8.,15493681 homem levitando intriga moradores e turistas na belgica,4277,1.8%,3151,3.4%,73.7%
,9.,15492918 olho por olho se vinga de encoxadores do metro,3327,1.4%,1661,1.8%,49.9%
,10.,15492904 exterminador de conviccoes testa opinioes sobre a legalizacao da maconha,2890,1.2%,869,0.9%,30.1%
,11.,15494258 visual do prato define terceira eliminada do dia,2791,1.2%,1045,1.1%,37.4%
,12.,15494290 ntegra capitulo 74  03/06/2015,2091,0.9%,981,1.1%,46.9%
,13.,15494176 eliminacao de candidata emociona participantes,1974,0.8%,629,0.7%,31.9%
,14.,15492991 ntegra capitulo 72  01/06/2015,1954,0.8%,672,0.7%,34.4%
,15.,15491697 bolinha forja propria morte ao lado de bola e trolla as panicats,1834,0.8%,667,0.7%,36.4%
,16.,15491833 polenta com ragu de 7 carnes,1720,0.7%,309,0.3%,18.0%
,17.,15494158 jurados decidem primeira eliminada do masterchef 2015,1401,0.6%,537,0.6%,38.3%
,18.,15492924 teste de honestidade compra medicamento proibido sem receita medica,1358,0.6%,813,0.9%,59.9%
,19.,15491712 igreja preferida dos pecadores volta as telas com a banheira do poderoso,1188,0.5%,459,0.5%,38.6%
,20.,15492951 top five caio fabio rebatiza cruzada de pernas de sharon stone,1034,0.4%,351,0.4%,33.9%
,21.,15494161 jiang pu erra no cozimento e deixa frango cru,1019,0.4%,573,0.6%,56.2%
,22.,15491747 carol dias entra no velho oeste e arrasa no panicats show,1009,0.4%,274,0.3%,27.2%
,23.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,1006,0.4%,123,0.1%,12.2%
,24.,15493479 onur se deita com sherazade,994,0.4%,865,0.9%,87.0%
,25.,15486230 candidata pede para apertar bochecha de jacquin,961,0.4%,785,0.9%,81.7%
,26.,15491655 mendigo e mendigata analisam as gostosas no pego ou nao pego,837,0.4%,468,0.5%,55.9%
,27.,15492993 os simuladores mostra golpe em concessionaria,783,0.3%,386,0.4%,49.3%
,28.,15403897 francine grava porno com kid bengala,728,0.3%,142,0.2%,19.5%
,29.,15491744 aline mineiro danca varios estilos e levanta plateia no panicats show,709,0.3%,321,0.3%,45.3%
,30.,15491671 eletrocutados humoristas improvisam no canto para nao tomarem choques,703,0.3%,422,0.5%,60.0%
,31.,15490088 1  audicoes,686,0.3%,272,0.3%,39.7%
,32.,15490063 ntegra capitulo 71  30/05/2015,674,0.3%,237,0.3%,35.2%
,33.,15494143 gustavo desiste de molho e agrada paola,654,0.3%,412,0.4%,63.0%
,34.,15494165 paola carosella agradece a lucas pelo sabor de seu prato,639,0.3%,540,0.6%,84.5%
,35.,15486209 3  prova,634,0.3%,287,0.3%,45.3%
,36.,15491739 daniel zukerman visita o hotel mais macabro do mundo,622,0.3%,272,0.3%,43.7%
,37.,15465392 video resume gestacao humana em quatro minutos,614,0.3%,171,0.2%,27.9%
,38.,15493403 erdal mata yale por acidente,591,0.3%,486,0.5%,82.2%
,39.,15486222 4  avaliacoes,585,0.2%,243,0.3%,41.5%
,40.,15486188 1  audicoes,543,0.2%,221,0.2%,40.7%
,41.,15493153 cupim braseado,525,0.2%,76,0.1%,14.5%
,42.,15494256 jiang pu avisa que ovo pode ter passado do ponto,513,0.2%,392,0.4%,76.4%
,43.,15491748 aline mineiro vence o panicats show,511,0.2%,164,0.2%,32.1%
,44.,15489702 veja a abertura da nova temporada de masterchef brasil,506,0.2%,382,0.4%,75.5%
,45.,15494103 1   caixa misteriosa eliminatoria,488,0.2%,331,0.4%,67.8%
,46.,15493408 yale e sherazade tentam fugir juntas de erdal,484,0.2%,390,0.4%,80.6%
,47.,15493406 sherazade consegue ajuda para fugir,472,0.2%,406,0.4%,86.0%
,48.,15494259 marcos erra na apresentacao do ovo,465,0.2%,316,0.3%,68.0%
,49.,15491674 agnaldo te mostro show humoristas decidem se crianca e menino ou menina,461,0.2%,253,0.3%,54.9%
,50.,15486200 2  audicoes,458,0.2%,179,0.2%,39.1%
,51.,15239464 filhotes de tigre encontram papai pela primeira vez,455,0.2%,274,0.3%,60.2%
,52.,15490092 2  audicoes,454,0.2%,170,0.2%,37.4%
,53.,15494254 larissa improvisa no molho e desagrada jurados,453,0.2%,306,0.3%,67.5%
,54.,15492939 cqc faz bombados usarem a forca para amassar latinhas,450,0.2%,259,0.3%,57.6%
,55.,15493593 yansel morre apos desmaio misterioso,446,0.2%,290,0.3%,65.0%
,56.,15491701 masterjegue tiririca prepara `furto do mar com caranguejos,441,0.2%,251,0.3%,56.9%
,57.,15491714 walter negao lanca nova novela parodia no panico na band,432,0.2%,168,0.2%,38.9%
,58.,15494380 mousse de palmito,427,0.2%,105,0.1%,24.6%
,59.,15491669 apagao gui santana volta ao quadro para mostrar sua falta de coragem,410,0.2%,179,0.2%,43.7%
,60.,15492905 gregorio duvivier conta ter tido affair com amiga de suzane von richthofen,390,0.2%,142,0.2%,36.4%
,61.,"15494167 fogaca elogia ideia, mas critica execucao do prato de raul",380,0.2%,253,0.3%,66.6%
,62.,15490056 ntegra capitulo 70  29/05/2015,379,0.2%,141,0.2%,37.2%
,63.,15490080 3  audicoes,377,0.2%,168,0.2%,44.6%
,64.,15426830 motorista provoca acidente para punir espertinho,370,0.2%,229,0.2%,61.9%
,65.,15494092 2   avaliacao caixa misteriosa,369,0.2%,223,0.2%,60.4%
,66.,15493121 nhoque verde,362,0.2%,82,0.1%,22.7%
,67.,15493627 fusun ironiza ali kemal e diz que esteve com amante,354,0.2%,264,0.3%,74.6%
,68.,15494119 3   prova do frango depenado,352,0.1%,197,0.2%,56.0%
,69.,15494255 sabrina acredita que seu prato ficou melhor que dos adversarios,339,0.1%,264,0.3%,77.9%
,70.,"15494166 murilo faz prato saboroso, mas exagera em ingredientes",337,0.1%,236,0.3%,70.0%
,71.,15494381 panqueca coreana,318,0.1%,130,0.1%,40.9%
,72.,15494384 arroz cremoso de bacalhau,316,0.1%,148,0.2%,46.8%
,73.,15492953 palavras cruzadas cqc prass x neto,298,0.1%,271,0.3%,90.9%
,74.,15494132 aritana maroni conta nao ter afinidade com banana,273,0.1%,233,0.3%,85.3%
,75.,15491717 panico reune coletanea de piadas de tiozao de gui santana,273,0.1%,215,0.2%,78.8%
,76.,15488762 ntegra capitulo 69  28/05/2015,273,0.1%,89,0.1%,32.6%
,77.,15494165 paola carosella agradece a lucas pelo sabor do prato,270,0.1%,223,0.2%,82.6%
,78.,"15494159 nervosa, cassia apresenta um prato abaixo da media",269,0.1%,207,0.2%,77.0%
